"","everwrk","age_p","r_maritl"
"177","1 Yes",36,"1 Married - spouse in household"
"178","1 Yes",34,"1 Married - spouse in household"
"179","2 No",23,"7 Never married"
"180","1 Yes",40,"1 Married - spouse in household"
"181","1 Yes",31,"8 Living with partner"
"182","1 Yes",62,"2 Married - spouse not in household"
"183","1 Yes",29,"1 Married - spouse in household"
"184","2 No",82,"7 Never married"
"185","2 No",21,"1 Married - spouse in household"
"186","1 Yes",68,"1 Married - spouse in household"
"187","1 Yes",32,"7 Never married"
"188","1 Yes",85,"4 Widowed"
"189","1 Yes",40,"1 Married - spouse in household"
"190","1 Yes",42,"7 Never married"
"191","1 Yes",59,"1 Married - spouse in household"
"192","1 Yes",37,"1 Married - spouse in household"
"193","1 Yes",45,"5 Divorced"
"194","1 Yes",37,"1 Married - spouse in household"
"195","1 Yes",49,"1 Married - spouse in household"
"196","1 Yes",69,"7 Never married"
"197","1 Yes",23,"7 Never married"
"198","1 Yes",82,"4 Widowed"
"199","1 Yes",85,"4 Widowed"
"200","2 No",57,"1 Married - spouse in household"
"201","2 No",46,"1 Married - spouse in household"
"202","1 Yes",36,"5 Divorced"
"203","1 Yes",33,"5 Divorced"
"204","1 Yes",70,"5 Divorced"
"205","1 Yes",37,"7 Never married"
"206","1 Yes",60,"4 Widowed"
"207","1 Yes",27,"7 Never married"
"208","2 No",64,"1 Married - spouse in household"
"209","2 No",43,"7 Never married"
"210","1 Yes",43,"1 Married - spouse in household"
"211","1 Yes",34,"1 Married - spouse in household"
"212","1 Yes",64,"1 Married - spouse in household"
"213","1 Yes",27,"1 Married - spouse in household"
"214","1 Yes",50,"7 Never married"
"215","1 Yes",45,"7 Never married"
"216","1 Yes",40,"1 Married - spouse in household"
"217","1 Yes",53,"5 Divorced"
"218","1 Yes",64,"1 Married - spouse in household"
"219","1 Yes",44,"1 Married - spouse in household"
"220","1 Yes",32,"1 Married - spouse in household"
"221","2 No",54,"5 Divorced"
"222","1 Yes",67,"6 Separated"
"223","1 Yes",38,"1 Married - spouse in household"
"224","2 No",60,"1 Married - spouse in household"
"225","1 Yes",26,"7 Never married"
"226","2 No",19,"7 Never married"
"227","1 Yes",85,"1 Married - spouse in household"
"228","2 No",18,"7 Never married"
"229","2 No",43,"7 Never married"
"230","1 Yes",53,"1 Married - spouse in household"
"231","1 Yes",36,"5 Divorced"
"232","2 No",35,"1 Married - spouse in household"
"233","1 Yes",82,"1 Married - spouse in household"
"234","1 Yes",37,"7 Never married"
"235","2 No",27,"1 Married - spouse in household"
"236","2 No",21,"1 Married - spouse in household"
"237","1 Yes",36,"1 Married - spouse in household"
"238","1 Yes",64,"5 Divorced"
"239","1 Yes",85,"1 Married - spouse in household"
"240","1 Yes",27,"7 Never married"
"241","1 Yes",34,"8 Living with partner"
"242","1 Yes",63,"1 Married - spouse in household"
"243","1 Yes",19,"7 Never married"
"244","1 Yes",44,"1 Married - spouse in household"
"245","1 Yes",54,"1 Married - spouse in household"
"246","1 Yes",59,"6 Separated"
"247","1 Yes",42,"1 Married - spouse in household"
"248","1 Yes",45,"1 Married - spouse in household"
"249","1 Yes",33,"5 Divorced"
"250","1 Yes",43,"1 Married - spouse in household"
"251","1 Yes",58,"5 Divorced"
"252","1 Yes",80,"1 Married - spouse in household"
"253","1 Yes",56,"1 Married - spouse in household"
"254","1 Yes",61,"5 Divorced"
"255","1 Yes",66,"1 Married - spouse in household"
"256","1 Yes",38,"7 Never married"
"257","1 Yes",55,"5 Divorced"
"258","1 Yes",46,"1 Married - spouse in household"
"259","1 Yes",26,"7 Never married"
"260","2 No",35,"7 Never married"
"261","1 Yes",25,"7 Never married"
"262","2 No",32,"1 Married - spouse in household"
"263","1 Yes",70,"1 Married - spouse in household"
"264","1 Yes",61,"1 Married - spouse in household"
"265","1 Yes",69,"5 Divorced"
"266","1 Yes",53,"5 Divorced"
"267","2 No",38,"7 Never married"
"268","1 Yes",57,"1 Married - spouse in household"
"269","1 Yes",23,"1 Married - spouse in household"
"270","1 Yes",63,"7 Never married"
"271","1 Yes",57,"1 Married - spouse in household"
"272","1 Yes",26,"1 Married - spouse in household"
"273","1 Yes",62,"4 Widowed"
"274","1 Yes",56,"1 Married - spouse in household"
"275","2 No",27,"8 Living with partner"
"276","1 Yes",62,"1 Married - spouse in household"
"277","1 Yes",63,"1 Married - spouse in household"
"278","1 Yes",76,"4 Widowed"
"279","1 Yes",69,"1 Married - spouse in household"
"280","1 Yes",38,"1 Married - spouse in household"
"281","1 Yes",35,"6 Separated"
"282","1 Yes",69,"1 Married - spouse in household"
"283","1 Yes",50,"1 Married - spouse in household"
"284","1 Yes",39,"7 Never married"
"285","1 Yes",63,"5 Divorced"
"286","1 Yes",42,"1 Married - spouse in household"
"287","2 No",59,"1 Married - spouse in household"
"288","1 Yes",85,"4 Widowed"
"289","2 No",33,"1 Married - spouse in household"
"290","1 Yes",52,"5 Divorced"
"291","2 No",27,"1 Married - spouse in household"
"292","1 Yes",85,"4 Widowed"
"293","1 Yes",57,"4 Widowed"
"294","1 Yes",31,"1 Married - spouse in household"
"295","1 Yes",67,"1 Married - spouse in household"
"296","1 Yes",26,"7 Never married"
"297","1 Yes",25,"5 Divorced"
"298","2 No",85,"4 Widowed"
"299","2 No",33,"7 Never married"
"300","2 No",22,"8 Living with partner"
"301","1 Yes",81,"4 Widowed"
"302","1 Yes",39,"7 Never married"
"303","1 Yes",69,"5 Divorced"
"304","2 No",42,"4 Widowed"
"305","1 Yes",32,"7 Never married"
"306","1 Yes",48,"1 Married - spouse in household"
"307","1 Yes",23,"8 Living with partner"
"308","1 Yes",78,"4 Widowed"
"309","1 Yes",54,"5 Divorced"
"310","1 Yes",56,"5 Divorced"
"311","1 Yes",46,"5 Divorced"
"312","1 Yes",60,"6 Separated"
"313","1 Yes",80,"2 Married - spouse not in household"
"314","1 Yes",64,"7 Never married"
"315","1 Yes",74,"4 Widowed"
"316","1 Yes",43,"2 Married - spouse not in household"
"317","2 No",45,"7 Never married"
"318","1 Yes",21,"7 Never married"
"319","1 Yes",19,"7 Never married"
"320","1 Yes",49,"7 Never married"
"321","1 Yes",37,"1 Married - spouse in household"
"322","2 No",34,"1 Married - spouse in household"
"323","1 Yes",64,"1 Married - spouse in household"
"324","2 No",36,"7 Never married"
"325","1 Yes",40,"5 Divorced"
"326","1 Yes",85,"4 Widowed"
"327","1 Yes",85,"4 Widowed"
"328","1 Yes",79,"1 Married - spouse in household"
"329","1 Yes",40,"1 Married - spouse in household"
"330","1 Yes",50,"1 Married - spouse in household"
"331","1 Yes",68,"1 Married - spouse in household"
"332","2 No",35,"1 Married - spouse in household"
"333","1 Yes",24,"7 Never married"
"334","1 Yes",43,"1 Married - spouse in household"
"335","2 No",36,"1 Married - spouse in household"
"336","1 Yes",77,"1 Married - spouse in household"
"337","1 Yes",66,"7 Never married"
"338","1 Yes",41,"1 Married - spouse in household"
"339","1 Yes",47,"1 Married - spouse in household"
"340","1 Yes",27,"7 Never married"
"341","1 Yes",28,"5 Divorced"
"342","1 Yes",51,"7 Never married"
"343","2 No",34,"1 Married - spouse in household"
"344","2 No",21,"7 Never married"
"345","2 No",67,"1 Married - spouse in household"
"346","1 Yes",34,"8 Living with partner"
"347","1 Yes",61,"5 Divorced"
"348","1 Yes",56,"8 Living with partner"
"349","1 Yes",73,"1 Married - spouse in household"
"350","2 No",39,"1 Married - spouse in household"
"351","1 Yes",78,"4 Widowed"
"352","1 Yes",44,"1 Married - spouse in household"
"353","1 Yes",23,"7 Never married"
"354","1 Yes",66,"7 Never married"
"355","1 Yes",69,"4 Widowed"
"356","2 No",65,"7 Never married"
"357","1 Yes",69,"1 Married - spouse in household"
"358","1 Yes",35,"6 Separated"
"359","1 Yes",63,"1 Married - spouse in household"
"360","1 Yes",39,"7 Never married"
"361","1 Yes",57,"5 Divorced"
"362","2 No",25,"7 Never married"
"363","1 Yes",55,"5 Divorced"
"364","1 Yes",85,"4 Widowed"
"365","2 No",27,"1 Married - spouse in household"
"366","1 Yes",44,"5 Divorced"
"367","2 No",51,"1 Married - spouse in household"
"368","1 Yes",21,"7 Never married"
"369","1 Yes",43,"8 Living with partner"
"370","2 No",34,"1 Married - spouse in household"
"371","1 Yes",30,"8 Living with partner"
"372","1 Yes",26,"7 Never married"
"373","1 Yes",58,"5 Divorced"
"374","1 Yes",73,"5 Divorced"
"375","1 Yes",33,"1 Married - spouse in household"
"376","1 Yes",25,"8 Living with partner"
"377","1 Yes",33,"1 Married - spouse in household"
"378","2 No",48,"1 Married - spouse in household"
"379","1 Yes",85,"4 Widowed"
"380","1 Yes",50,"1 Married - spouse in household"
"381","1 Yes",55,"5 Divorced"
"382","1 Yes",56,"5 Divorced"
"383","1 Yes",23,"7 Never married"
"384","1 Yes",47,"5 Divorced"
"385","1 Yes",68,"1 Married - spouse in household"
"386","1 Yes",62,"1 Married - spouse in household"
"387","2 No",50,"5 Divorced"
"388","1 Yes",41,"5 Divorced"
"389","2 No",36,"1 Married - spouse in household"
"390","1 Yes",46,"1 Married - spouse in household"
"391","2 No",44,"5 Divorced"
"392","1 Yes",29,"1 Married - spouse in household"
"393","1 Yes",43,"1 Married - spouse in household"
"394","1 Yes",55,"7 Never married"
"395","1 Yes",72,"1 Married - spouse in household"
"396","1 Yes",41,"1 Married - spouse in household"
"397","1 Yes",34,"5 Divorced"
"398","1 Yes",33,"7 Never married"
"399","1 Yes",20,"7 Never married"
"400","1 Yes",60,"5 Divorced"
"401","7 Refused",56,"4 Widowed"
"402","1 Yes",33,"1 Married - spouse in household"
"403","1 Yes",23,"7 Never married"
"404","1 Yes",26,"7 Never married"
"405","1 Yes",23,"7 Never married"
"406","2 No",51,"4 Widowed"
"407","1 Yes",35,"1 Married - spouse in household"
"408","1 Yes",27,"7 Never married"
"409","1 Yes",26,"7 Never married"
"410","1 Yes",29,"7 Never married"
"411","1 Yes",44,"7 Never married"
"412","1 Yes",56,"5 Divorced"
"413","2 No",28,"8 Living with partner"
"414","1 Yes",37,"1 Married - spouse in household"
"415","2 No",29,"1 Married - spouse in household"
"416","1 Yes",80,"1 Married - spouse in household"
"417","2 No",44,"5 Divorced"
"418","1 Yes",80,"4 Widowed"
"419","2 No",29,"7 Never married"
"420","1 Yes",37,"1 Married - spouse in household"
"421","1 Yes",51,"7 Never married"
"422","1 Yes",40,"5 Divorced"
"423","1 Yes",27,"1 Married - spouse in household"
"424","1 Yes",60,"1 Married - spouse in household"
"425","1 Yes",60,"1 Married - spouse in household"
"426","1 Yes",62,"1 Married - spouse in household"
"427","1 Yes",26,"7 Never married"
"428","1 Yes",67,"4 Widowed"
"429","1 Yes",49,"1 Married - spouse in household"
"430","2 No",18,"7 Never married"
"431","1 Yes",43,"1 Married - spouse in household"
"432","1 Yes",31,"1 Married - spouse in household"
"433","1 Yes",23,"7 Never married"
"434","1 Yes",47,"5 Divorced"
"435","1 Yes",24,"7 Never married"
"436","1 Yes",48,"5 Divorced"
"437","2 No",49,"5 Divorced"
"438","1 Yes",54,"7 Never married"
"439","1 Yes",56,"5 Divorced"
"440","1 Yes",22,"8 Living with partner"
"441","1 Yes",50,"1 Married - spouse in household"
"442","1 Yes",72,"1 Married - spouse in household"
"443","2 No",69,"5 Divorced"
"444","1 Yes",45,"1 Married - spouse in household"
"445","1 Yes",39,"8 Living with partner"
"446","1 Yes",32,"1 Married - spouse in household"
"447","1 Yes",46,"1 Married - spouse in household"
"448","2 No",49,"1 Married - spouse in household"
"449","1 Yes",29,"1 Married - spouse in household"
"450","1 Yes",24,"1 Married - spouse in household"
"451","1 Yes",39,"1 Married - spouse in household"
"452","1 Yes",85,"4 Widowed"
"453","2 No",39,"1 Married - spouse in household"
"454","1 Yes",25,"1 Married - spouse in household"
"455","1 Yes",79,"1 Married - spouse in household"
"456","1 Yes",29,"8 Living with partner"
"457","2 No",69,"5 Divorced"
"458","1 Yes",32,"7 Never married"
"459","1 Yes",37,"1 Married - spouse in household"
"460","1 Yes",29,"1 Married - spouse in household"
"461","1 Yes",57,"1 Married - spouse in household"
"462","1 Yes",65,"4 Widowed"
"463","2 No",74,"4 Widowed"
"464","1 Yes",33,"1 Married - spouse in household"
"465","2 No",56,"4 Widowed"
"466","1 Yes",37,"1 Married - spouse in household"
"467","1 Yes",63,"7 Never married"
"468","2 No",34,"7 Never married"
"469","1 Yes",35,"6 Separated"
"470","1 Yes",53,"7 Never married"
"471","1 Yes",77,"5 Divorced"
"472","1 Yes",30,"8 Living with partner"
"473","1 Yes",85,"4 Widowed"
"474","1 Yes",21,"7 Never married"
"475","1 Yes",20,"7 Never married"
"476","1 Yes",32,"7 Never married"
"477","1 Yes",43,"5 Divorced"
"478","1 Yes",25,"1 Married - spouse in household"
"479","1 Yes",23,"7 Never married"
"480","1 Yes",53,"1 Married - spouse in household"
"481","1 Yes",47,"7 Never married"
"482","1 Yes",59,"1 Married - spouse in household"
"483","2 No",32,"1 Married - spouse in household"
"484","1 Yes",27,"1 Married - spouse in household"
"485","1 Yes",66,"1 Married - spouse in household"
"486","2 No",63,"1 Married - spouse in household"
"487","1 Yes",31,"1 Married - spouse in household"
"488","1 Yes",64,"1 Married - spouse in household"
"489","1 Yes",61,"5 Divorced"
"490","1 Yes",85,"1 Married - spouse in household"
"491","1 Yes",51,"1 Married - spouse in household"
"492","1 Yes",24,"7 Never married"
"493","1 Yes",50,"2 Married - spouse not in household"
"494","1 Yes",64,"1 Married - spouse in household"
"495","1 Yes",60,"1 Married - spouse in household"
"496","1 Yes",65,"4 Widowed"
"497","1 Yes",78,"1 Married - spouse in household"
"498","1 Yes",80,"4 Widowed"
"499","1 Yes",18,"7 Never married"
"500","1 Yes",62,"1 Married - spouse in household"
"501","1 Yes",23,"7 Never married"
"502","7 Refused",31,"2 Married - spouse not in household"
"503","2 No",42,"8 Living with partner"
"504","2 No",42,"8 Living with partner"
"505","1 Yes",32,"1 Married - spouse in household"
"506","1 Yes",23,"8 Living with partner"
"507","1 Yes",56,"5 Divorced"
"508","1 Yes",53,"1 Married - spouse in household"
"509","2 No",40,"7 Never married"
"510","1 Yes",67,"5 Divorced"
"511","1 Yes",30,"1 Married - spouse in household"
"512","1 Yes",36,"1 Married - spouse in household"
"513","1 Yes",51,"5 Divorced"
"514","2 No",34,"7 Never married"
"515","1 Yes",61,"2 Married - spouse not in household"
"516","1 Yes",55,"1 Married - spouse in household"
"517","2 No",31,"7 Never married"
"518","1 Yes",46,"1 Married - spouse in household"
"519","1 Yes",66,"5 Divorced"
"520","1 Yes",80,"4 Widowed"
"521","1 Yes",65,"1 Married - spouse in household"
"522","1 Yes",62,"5 Divorced"
"523","1 Yes",41,"8 Living with partner"
"524","1 Yes",70,"5 Divorced"
"525","1 Yes",45,"1 Married - spouse in household"
"526","1 Yes",47,"7 Never married"
"527","1 Yes",48,"1 Married - spouse in household"
"528","2 No",27,"1 Married - spouse in household"
"529","1 Yes",19,"7 Never married"
"530","1 Yes",19,"7 Never married"
"531","1 Yes",64,"1 Married - spouse in household"
"532","1 Yes",46,"1 Married - spouse in household"
"533","1 Yes",85,"4 Widowed"
"534","1 Yes",29,"1 Married - spouse in household"
"535","1 Yes",34,"7 Never married"
"536","1 Yes",45,"2 Married - spouse not in household"
"537","1 Yes",60,"4 Widowed"
"538","1 Yes",45,"1 Married - spouse in household"
"539","1 Yes",52,"1 Married - spouse in household"
"540","1 Yes",82,"4 Widowed"
"541","1 Yes",46,"7 Never married"
"542","1 Yes",48,"7 Never married"
"543","1 Yes",59,"1 Married - spouse in household"
"544","2 No",42,"1 Married - spouse in household"
"545","1 Yes",42,"5 Divorced"
"546","1 Yes",24,"5 Divorced"
"547","1 Yes",64,"1 Married - spouse in household"
"548","1 Yes",36,"1 Married - spouse in household"
"549","1 Yes",32,"1 Married - spouse in household"
"550","2 No",25,"7 Never married"
"551","1 Yes",61,"1 Married - spouse in household"
"552","1 Yes",76,"1 Married - spouse in household"
"553","1 Yes",25,"7 Never married"
"554","2 No",26,"7 Never married"
"555","1 Yes",63,"1 Married - spouse in household"
"556","1 Yes",74,"4 Widowed"
"557","1 Yes",80,"1 Married - spouse in household"
"558","1 Yes",55,"1 Married - spouse in household"
"559","2 No",23,"7 Never married"
"560","1 Yes",40,"7 Never married"
"561","1 Yes",35,"5 Divorced"
"562","2 No",48,"5 Divorced"
"563","1 Yes",85,"1 Married - spouse in household"
"564","1 Yes",50,"1 Married - spouse in household"
"565","1 Yes",34,"7 Never married"
"566","1 Yes",41,"7 Never married"
"567","1 Yes",33,"7 Never married"
"568","2 No",35,"1 Married - spouse in household"
"569","1 Yes",68,"4 Widowed"
"570","1 Yes",23,"1 Married - spouse in household"
"571","2 No",18,"7 Never married"
"572","2 No",31,"1 Married - spouse in household"
"573","1 Yes",48,"1 Married - spouse in household"
"574","1 Yes",64,"1 Married - spouse in household"
"575","1 Yes",77,"4 Widowed"
"576","1 Yes",64,"4 Widowed"
"577","1 Yes",62,"5 Divorced"
"578","1 Yes",75,"4 Widowed"
"579","1 Yes",52,"1 Married - spouse in household"
"580","1 Yes",23,"8 Living with partner"
"581","2 No",58,"1 Married - spouse in household"
"582","1 Yes",65,"7 Never married"
"583","1 Yes",55,"1 Married - spouse in household"
"584","2 No",21,"1 Married - spouse in household"
"585","1 Yes",20,"7 Never married"
"586","1 Yes",45,"5 Divorced"
"587","1 Yes",23,"8 Living with partner"
"588","7 Refused",68,"2 Married - spouse not in household"
"589","1 Yes",56,"1 Married - spouse in household"
"590","1 Yes",38,"1 Married - spouse in household"
"591","1 Yes",50,"5 Divorced"
"592","1 Yes",45,"1 Married - spouse in household"
"593","2 No",28,"1 Married - spouse in household"
"594","1 Yes",32,"7 Never married"
"595","2 No",45,"1 Married - spouse in household"
"596","1 Yes",85,"1 Married - spouse in household"
"597","1 Yes",28,"8 Living with partner"
"598","1 Yes",70,"1 Married - spouse in household"
"599","1 Yes",57,"1 Married - spouse in household"
"600","1 Yes",25,"1 Married - spouse in household"
"601","1 Yes",44,"8 Living with partner"
"602","1 Yes",59,"5 Divorced"
"603","1 Yes",20,"7 Never married"
"604","1 Yes",79,"1 Married - spouse in household"
"605","1 Yes",43,"8 Living with partner"
"606","1 Yes",45,"1 Married - spouse in household"
"607","7 Refused",41,"2 Married - spouse not in household"
"608","1 Yes",44,"6 Separated"
"609","1 Yes",31,"1 Married - spouse in household"
"610","1 Yes",33,"5 Divorced"
"611","1 Yes",59,"5 Divorced"
"612","2 No",73,"1 Married - spouse in household"
"613","2 No",23,"7 Never married"
"614","1 Yes",31,"1 Married - spouse in household"
"615","1 Yes",55,"5 Divorced"
"616","1 Yes",46,"1 Married - spouse in household"
"617","1 Yes",52,"5 Divorced"
"618","1 Yes",35,"1 Married - spouse in household"
"619","1 Yes",85,"4 Widowed"
"620","1 Yes",35,"1 Married - spouse in household"
"621","1 Yes",33,"7 Never married"
"622","1 Yes",44,"1 Married - spouse in household"
"623","1 Yes",41,"1 Married - spouse in household"
"624","1 Yes",46,"6 Separated"
"625","1 Yes",74,"1 Married - spouse in household"
"626","1 Yes",45,"1 Married - spouse in household"
"627","1 Yes",73,"4 Widowed"
"628","1 Yes",36,"8 Living with partner"
"629","1 Yes",50,"1 Married - spouse in household"
"630","1 Yes",46,"5 Divorced"
"631","1 Yes",82,"4 Widowed"
"632","1 Yes",53,"1 Married - spouse in household"
"633","1 Yes",71,"6 Separated"
"634","1 Yes",69,"4 Widowed"
"635","1 Yes",60,"1 Married - spouse in household"
"636","1 Yes",53,"1 Married - spouse in household"
"637","2 No",19,"7 Never married"
"638","1 Yes",71,"4 Widowed"
"639","1 Yes",37,"6 Separated"
"640","1 Yes",25,"7 Never married"
"641","1 Yes",32,"1 Married - spouse in household"
"642","1 Yes",53,"1 Married - spouse in household"
"643","1 Yes",42,"5 Divorced"
"644","1 Yes",58,"5 Divorced"
"645","1 Yes",61,"4 Widowed"
"646","2 No",26,"7 Never married"
"647","1 Yes",78,"4 Widowed"
"648","1 Yes",67,"1 Married - spouse in household"
"649","1 Yes",30,"1 Married - spouse in household"
"650","1 Yes",44,"1 Married - spouse in household"
"651","1 Yes",62,"1 Married - spouse in household"
"652","1 Yes",28,"2 Married - spouse not in household"
"653","1 Yes",26,"8 Living with partner"
